keyword,major_count,majors,major_groups,primary_cluster,primary_cluster_label,recommended_subject_groups,preferred_methods,preferred_outputs,preferred_report_modes,assessment_focus,topic_noun,recommended_evidence,route_confidence
GPS,1,정보통신공학,AI·SW·전자,other,기타·직접검토,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
GPS위성,1,항공학과,기계·모빌리티·건설,energy_mobility_space,에너지·모빌리티·우주,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,"에너지 전환, 효율, 시스템 안정성과 적용 조건을 비교",에너지 전환과 효율,효율·조건 비교 자료,medium
GPU,1,컴퓨터 공학,AI·SW·전자,other,기타·직접검토,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
Gauss의 법칙,1,물리학과,기타,core_principles,원리·구조,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 원리와 구조가 조건에 따라 어떻게 달라지는지 분석,원리와 구조,개념 비교표와 조건별 차이,medium
Git,1,응용소프트웨어,AI·SW·전자,data_ai_software,데이터·AI·소프트웨어,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
HACCP,1,식품영양학,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
HDD(하드디스크드라이브),1,반도체 세라믹공학,AI·SW·전자,other,기타·직접검토,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
HDL(하드웨어 기술 언어),1,반도체 세라믹공학,AI·SW·전자,other,기타·직접검토,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
ICT,1,전기공학,AI·SW·전자,other,기타·직접검토,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
IC메모리,1,전자공학,AI·SW·전자,materials_devices,소재·부품,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,소재 또는 부품의 특성이 성능·안정성·효율에 미치는 영향 비교,소재 특성과 성능,물성·성능 비교표,medium
IOS,1,컴퓨터 공학,AI·SW·전자,other,기타·직접검토,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
IP프로토콜,1,정보통신공학,AI·SW·전자,other,기타·직접검토,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
ISO 26262,1,기계전자(메카트로닉스),기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
IT산업,1,컴퓨터 공학,AI·SW·전자,human_society_policy,사회·정책·사용자,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,"이해관계, 영향, 판단 기준과 제도적 해결 방안을 분석",사회적 영향과 정책 기준,사례·통계·정책 비교,medium
IT의료기기,1,의료공학,생명·의료·생활,bio_medical,생명·의료,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,"구조와 기능의 관계, 생명 기전, 건강·의료 적용을 분석",생명 기전과 적용,기전 흐름도·사례 자료,medium
Image Making,1,뷰티아트,생명·의료·생활,other,기타·직접검토,과학 | 사회 | 수학,실험실습형 | 자료해석형 | 조사탐구형,실험보고서 | 탐구보고서 | 자료분석지,실험분석형 | 자료해석형 | 연구보고서형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
IoT 융합진단,1,임상병리,기타,data_ai_software,데이터·AI·소프트웨어,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
IoT네트워크,1,컴퓨터 공학,AI·SW·전자,data_ai_software,데이터·AI·소프트웨어,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
IoT소프트웨어,1,응용소프트웨어,AI·SW·전자,data_ai_software,데이터·AI·소프트웨어,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
JAVA프로그래밍,1,응용소프트웨어,AI·SW·전자,data_ai_software,데이터·AI·소프트웨어,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
JFET,1,전자공학,AI·SW·전자,materials_devices,소재·부품,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,소재 또는 부품의 특성이 성능·안정성·효율에 미치는 영향 비교,소재 특성과 성능,물성·성능 비교표,medium
JIT컴파일,1,컴퓨터 공학,AI·SW·전자,other,기타·직접검토,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
JavaScript,1,응용소프트웨어,AI·SW·전자,data_ai_software,데이터·AI·소프트웨어,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,"데이터 입력, 처리 기준, 결과와 오차를 분석",데이터 처리와 결과,데이터 표·그래프·오류 사례,medium
KANBAN,1,산업공학,신소재·에너지·산업,other,기타·직접검토,과학 | 수학 | 정보,비교분석형 | 자료해석형 | 프로젝트형,탐구보고서 | 자료분석지 | 설계보고서,원리적용형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
KARI,1,항공학과,기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
Kepler의 법칙,1,물리학과,기타,core_principles,원리·구조,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 원리와 구조가 조건에 따라 어떻게 달라지는지 분석,원리와 구조,개념 비교표와 조건별 차이,medium
K패션,1,의류의상학,기타,other,기타·직접검토,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
LCD,1,신소재공학,신소재·에너지·산업,materials_devices,소재·부품,과학 | 수학 | 정보,비교분석형 | 자료해석형 | 프로젝트형,탐구보고서 | 자료분석지 | 설계보고서,원리적용형 | 자료해석형 | 공학설계형,소재 또는 부품의 특성이 성능·안정성·효율에 미치는 영향 비교,소재 특성과 성능,물성·성능 비교표,medium
LED,1,전자공학,AI·SW·전자,materials_devices,소재·부품,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,소재 또는 부품의 특성이 성능·안정성·효율에 미치는 영향 비교,소재 특성과 성능,물성·성능 비교표,medium
LNG선,1,해양공학,기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
LPG 엔진,1,자동차공학,기계·모빌리티·건설,energy_mobility_space,에너지·모빌리티·우주,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,"에너지 전환, 효율, 시스템 안정성과 적용 조건을 비교",에너지 전환과 효율,효율·조건 비교 자료,medium
Lewis 구조,1,화학과,기타,core_principles,원리·구조,과학 | 수학 | 사회 | 정보 | 국어 | 영어,자료해석형 | 보고서작성형 | 조사탐구형,탐구보고서 | 자료분석지 | 발표자료,자료해석형 | 연구보고서형 | 개념해석형,핵심 원리와 구조가 조건에 따라 어떻게 달라지는지 분석,원리와 구조,개념 비교표와 조건별 차이,medium
MATLAB,1,기계공학,기계·모빌리티·건설,other,기타·직접검토,과학 | 수학 | 정보,프로젝트형 | 자료해석형 | 보고서작성형,설계보고서 | 탐구보고서 | 발표자료,공학설계형 | 원리적용형 | 자료해석형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
MIMO시스템,1,전자공학,AI·SW·전자,other,기타·직접검토,정보 | 수학 | 과학,프로그래밍구현형 | 자료해석형 | 프로젝트형,프로그램 | 탐구보고서 | 발표자료,프로그래밍구현형 | 자료해석형 | 공학설계형,핵심 개념을 비교 기준과 실제 자료로 구체화,핵심 개념과 적용,사례 비교표·근거 자료,base
